ds,yhat,yhat_lower,yhat_upper
2022-01-01,54509.92249664414,31446.107575519785,75964.31746792168
2022-01-02,55164.34269781867,33194.11242743703,77371.2314973854
2022-01-03,53496.22420768031,31554.42126904483,75960.95921294347
2022-01-04,56271.166921472744,32267.658688208725,77010.90156854843
2022-01-05,53887.290286209085,30151.876139071963,75523.066217973
2022-01-06,54825.902883063696,34059.54572293349,76533.7575071835
2022-01-07,56592.241269342376,33498.979382529746,79415.11360214632
2022-01-08,54150.764920703215,30506.572003179197,76618.57416792917
2022-01-09,54300.74417491378,32953.73964961882,75217.5187514508
2022-01-10,52162.20273036697,31359.89599889294,74660.87194316604
2022-01-11,54510.38044364317,30801.045999903414,77236.28265486538
2022-01-12,51751.72571321132,30357.97262339253,72867.30251951137
2022-01-13,52374.38724381333,27900.916020444947,75251.81042643143
2022-01-14,53888.81794481607,31623.983531743273,76705.91417056392
2022-01-15,51262.98068159975,29090.330655622958,73546.08660834441
2022-01-16,51297.89435607854,30156.004029861793,73794.9849316335
2022-01-17,49113.58211112983,27279.306068283226,71111.63947833328
2022-01-18,51483.58632333225,28291.111955183176,72961.95059263973
2022-01-19,48811.057315347876,26506.025825764344,71785.14193934291
2022-01-20,49579.382034750095,26869.101527676616,71217.41291193095
2022-01-21,51292.9608279997,28670.896445814567,72997.03007913768
2022-01-22,48912.61647312876,25605.578616214552,72567.71915230932
2022-01-23,49231.36762988416,25293.464391601865,71657.52206853262
2022-01-24,47360.62161422067,25500.208649042426,71124.60639571316
2022-01-25,50064.94390593634,29395.441217425985,71783.99894090935
2022-01-26,47738.403911090194,25255.113504238605,69796.2541184985
2022-01-27,48855.45587579496,25309.271466664108,69130.25525667882
2022-01-28,50911.95600037527,30197.272215740544,74536.78298052508
2022-01-29,48860.79330768188,26222.21483235771,71787.68312820136
2022-01-30,49487.860469104846,27206.468956482764,73048.64967852
2022-01-31,47898.41435779833,24510.17022223896,70682.1434617991
2022-02-01,50851.979555437596,28850.394149928477,74299.33266668698
2022-02-02,48738.79121523541,27393.77268161863,72383.90775476114
2022-02-03,50031.12703365503,26717.342653790314,72399.17690126562
2022-02-04,52223.16440473931,28862.775274244388,74940.89651497621
2022-02-05,50267.769053810254,27345.362729350905,72526.32114149303
2022-02-06,50952.01455079763,28267.763819115764,71982.1218697917
2022-02-07,49383.449296769,26877.144851537767,71036.08770466068
2022-02-08,52324.87502761224,30938.658569842402,74497.61608760127
2022-02-09,50170.63777234686,27937.654908860037,72545.6376349077
2022-02-10,51397.393454261786,30489.032294617627,73716.29721772672
2022-02-11,53504.95422473117,31476.466026998813,75570.35269425798
2022-02-12,51451.69969973568,28683.930578062653,74084.3709604793
2022-02-13,52030.28727309368,30390.50507356298,75156.86171837273
2022-02-14,50353.72034376104,28038.513104111993,71802.24925104402
2022-02-15,53189.93756193292,29696.53688146089,75058.69154578426
2022-02-16,50937.929876912676,28650.916274281622,74384.25975943558
2022-02-17,52078.352866684814,30165.965085077212,76085.34529511642
2022-02-18,54114.245023586715,31639.60345650071,76400.14708487262
2022-02-19,52006.3399097524,29289.30628540386,74619.33496627018
2022-02-20,52548.7091554799,28808.949942564243,75372.66390407756
2022-02-21,50854.79691407244,28761.31705000928,72951.12036859231
2022-02-22,53692.00958762572,32763.561181205732,76143.80920988819
2022-02-23,51457.867236736754,29013.384583096296,73686.84042184487
2022-02-24,52630.68272479224,29412.50489419443,74922.26392999636
2022-02-25,54710.37683419718,32314.331589813355,77177.16758467436
2022-02-26,52653.91390622968,32351.22836588342,73868.36644385582
2022-02-27,53251.09079867077,30737.56024389584,74039.14610920842
2022-02-28,51610.73491370754,28770.896206740814,74899.0427631457
2022-03-01,54495.46971924724,32442.71380799356,75956.86215102789
2022-03-02,52298.04842397719,30349.950939720806,74270.69222720506
2022-03-03,53492.21592093713,31191.432431230318,75966.33318966893
2022-03-04,55573.7013005833,34078.263937443626,76340.24092518071
2022-03-05,53495.819730054754,29435.176976520415,74177.93215180398
2022-03-06,54045.41109513203,31520.843232632706,75809.43598924937
2022-03-07,52329.166284468,30094.525401366987,74725.1831989439
2022-03-08,55108.495311774015,31529.3394338958,76855.48428274415
2022-03-09,52775.93456265951,29526.822567371964,73825.35464730502
2022-03-10,53806.050727286,31289.15877181287,75334.12761239095
2022-03-11,55696.4421974478,34347.61507540419,76917.87421787418
2022-03-12,53403.31619687973,32014.44589284406,74890.9916761767
2022-03-13,53717.36955060668,33787.03977348482,77447.16951370015
2022-03-14,51750.02549379569,28544.999687577954,75881.2854919514
2022-03-15,54268.18322997451,33379.30253139462,75735.84016379582
2022-03-16,51670.48087396418,29284.352849393934,73932.5003657783
2022-03-17,52438.03355826361,30968.959563137767,75556.63696094355
2022-03-18,54075.25230524938,30689.003363474338,77135.82270315026
2022-03-19,51545.22730073143,30414.262977410704,74027.3932019498
2022-03-20,51645.40919592326,29109.654353404483,74008.50362073822
2022-03-21,49493.64674735506,26639.128933968466,70891.8617497452
2022-03-22,51862.74342484398,28733.980302253538,72330.23102406212
2022-03-23,49156.5393785926,25575.228309628477,71010.39499128058
2022-03-24,49860.485963858126,28136.24556848499,71446.4475208993
2022-03-25,51482.32334960494,31162.791524197746,73764.51842470802
2022-03-26,48987.349128711365,25219.461029768114,71838.82545116998
2022-03-27,49174.01507114171,26200.17657113113,70201.37110817243
2022-03-28,47159.91297372742,26044.347395803397,69607.19033746004
2022-03-29,49716.31393219574,25183.809506209356,72938.23795108023
2022-03-30,47244.26812603568,24696.3850537179,70122.86162920305
2022-03-31,48225.23199764379,25910.760179593944,72147.96811586936
2022-04-01,50161.832029798454,27876.323527276934,73268.76729557979
2022-04-02,48013.25075146127,26245.77193384063,69914.50458067136
2022-04-03,48570.968928629845,26787.910257258605,70660.88511067873
2022-04-04,46944.92090680031,24160.125304418027,69568.57960753361
2022-04-05,49898.22275919739,26111.813240733314,72593.88689832517
2022-04-06,47823.47511196211,24851.60648448513,70741.73746232512
2022-04-07,49193.60191430108,25611.151949327203,71369.58575775941
2022-04-08,51502.8285120819,29212.601832556316,73091.33593950275
2022-04-09,49702.278753956445,28141.13371101198,69537.78633863827
2022-04-10,50575.919281733484,27668.58442291443,73223.90047238456
2022-04-11,49226.90246087428,26222.689093354777,70775.63665427342
2022-04-12,52412.4625152459,30052.012093675618,73946.87265496192
