Date,Monthly_Income,Monthly_Expenditure,Savings_Ratio,Debt_to_Income_Ratio,Financial_Stability_Index,Investment_Amount,Credit_Score,Risk_Tolerance_Level,Expense_Category,Purchase_Amount,Purchase_Priority,Urgency_Score,Is_Feasible,Remaining_Budget,Budget_Utilization_Percentage
2022-01-01,89934.28,43504.93,0.307,0.417,0.605,37259.2,667,0.772,Travel,1517.0,1,1,1,46429.35,48.374134979453885
2022-01-02,77234.71,34932.02,0.383,0.586,0.615,38774.65,688,0.828,Travel,1701.09,1,2,1,42302.69000000001,45.22839536783396
2022-01-03,92953.77,66760.8,0.286,0.541,0.506,92226.58,653,0.171,Healthcare,1827.93,3,1,1,26192.97,71.82150869190136
2022-01-04,110460.6,83203.1,0.065,0.498,0.496,123179.17,756,0.897,Rent/Bills,796.35,3,5,1,27257.5,75.32378060593551
2022-01-05,75316.93,31316.26,0.481,0.168,0.719,25316.93,685,0.656,Healthcare,491.56,2,4,1,44000.67,41.57931025600752
2022-01-06,75317.26,65383.38,0.056,0.532,0.478,188518.03,773,0.882,Healthcare,844.29,3,1,1,9933.879999999996,86.81061950474566
2022-01-07,111584.26,47533.29,0.469,0.4,0.629,153475.39,776,0.485,Travel,1070.01,1,4,1,64050.97,42.59856184017352
2022-01-08,95348.69,63945.43,0.541,0.636,0.642,121458.54,696,0.542,Electronics,1953.2,1,3,1,31403.26,67.06482280983619
2022-01-09,70610.51,53277.77,0.288,0.652,0.559,167403.35,650,0.919,Entertainment,1790.69,2,3,1,17332.739999999998,75.45303100062583
2022-01-10,90851.2,75904.78,0.345,0.133,0.664,25235.48,596,0.9,Travel,1779.9,1,5,0,14946.419999999998,83.54846166038533
2022-01-11,70731.65,53546.93,0.312,0.592,0.525,100599.39,626,0.448,Healthcare,934.41,3,4,1,17184.719999999994,75.7043416914493
2022-01-12,70685.4,56609.4,0.264,0.123,0.584,129717.69,631,0.274,Rent/Bills,1232.27,2,3,1,14075.999999999993,80.08641105518255
2022-01-13,84839.25,48335.05,0.538,0.32,0.666,167444.05,769,0.393,Healthcare,1898.86,2,1,1,36504.2,56.972509775840784
2022-01-14,41734.4,33696.87,0.542,0.425,0.668,158859.22,706,0.388,Travel,77.38,2,1,1,8037.529999999999,80.74123504830548
2022-01-15,45501.64,20023.34,0.235,0.189,0.578,62643.16,719,0.287,Groceries,319.6,2,5,1,25478.3,44.00575451785914
2022-01-16,68754.25,58262.92,0.388,0.548,0.533,188767.23,589,0.269,Electronics,380.64,2,4,1,10491.330000000002,84.74082693069883
2022-01-17,59743.38,40254.86,0.56,0.105,0.768,33625.71,640,0.861,Entertainment,1855.53,1,3,1,19488.52,67.37961595075471
2022-01-18,86284.95,69774.23,0.579,0.201,0.683,176275.39,744,0.07,Healthcare,401.51,2,4,1,16510.72,80.86489011119552
2022-01-19,61839.52,38721.38,0.33,0.448,0.605,194478.65,714,0.678,Travel,1826.78,1,5,1,23118.14,62.61591293076013
2022-01-20,51753.93,37355.41,0.299,0.529,0.529,43659.17,693,0.173,Entertainment,1036.84,1,1,1,14398.519999999997,72.17888573872555
